Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2019,Flathead,MT,Passenger,1,0,1,70,71,1.41
October 31 2019,New London,CT,Passenger,0,2,2,244,246,0.81
June 30 2019,Pend Oreille,WA,Truck,0,0,0,5730,5730,0.00
November 30 2019,Virginia Beach,VA,Passenger,1,0,1,706,707,0.14
February 28 2018,Sacramento,CA,Passenger,1,0,1,307,308,0.32
April 30 2021,Pierce,WA,Truck,0,0,0,145913,145913,0.00
June 30 2023,Jefferson,NY,Passenger,2,1,3,175,178,1.69
November 30 2019,Charles,MD,Passenger,0,1,1,88,89,1.12
March 31 2020,Erie,NY,Passenger,1,0,1,47,48,2.08
June 30 2020,Arlington,VA,Passenger,0,2,2,155,157,1.27
July 31 2023,Newport News,VA,Passenger,1,0,1,93,94,1.06
February 28 2023,Kauai,HI,Passenger,1,1,2,15,17,11.76
June 30 2021,Hampshire,MA,Passenger,1,0,1,6,7,14.29
October 31 2021,Cumberland,NC,Passenger,0,4,4,414,418,0.96
March 31 2022,Deschutes,OR,Passenger,2,0,2,96,98,2.04
May 31 2023,Spokane,WA,Truck,38,0,38,101791,101829,0.04
December 31 2019,Richland,SC,Passenger,0,1,1,157,158,0.63
April 30 2021,Prince George's,MD,Passenger,2,1,3,150,153,1.96
April 30 2018,Okaloosa,FL,Passenger,1,0,1,175,176,0.57
June 30 2020,Penobscot,ME,Passenger,0,1,1,14,15,6.67
November 30 2020,Grant,WA,Passenger,78,79,157,65753,65910,0.24
May 31 2017,Santa Clara,CA,Passenger,5,2,7,408,415,1.69
February 28 2017,Pierce,WA,Passenger,862,778,1640,526721,528361,0.31
August 31 2021,,,Passenger,3,2,5,327,332,1.51
July 31 2020,Whitman,WA,Passenger,45,49,94,22114,22208,0.42
November 30 2017,Palm Beach,FL,Passenger,0,1,1,91,92,1.09
March 31 2021,Rockingham,NH,Passenger,1,0,1,24,25,4.00
December 31 2021,Fairbanks North Star,AK,Passenger,0,1,1,79,80,1.25
May 31 2023,Sarpy,NE,Passenger,1,0,1,53,54,1.85
November 30 2019,Pierce,WA,Passenger,2083,1634,3717,547389,551106,0.67
October 31 2023,Pacific,WA,Passenger,89,99,188,15307,15495,1.21
November 30 2021,Stevens,WA,Passenger,54,43,97,30298,30395,0.32
August 31 2018,Pend Oreille,WA,Truck,0,0,0,5716,5716,0.00
September 30 2019,Whitman,WA,Passenger,36,45,81,22702,22783,0.36
January 31 2020,Wahkiakum,WA,Passenger,4,5,9,3034,3043,0.30
March 31 2017,Douglas,WA,Truck,0,0,0,11440,11440,0.00
February 28 2018,Okanogan,WA,Passenger,7,19,26,25659,25685,0.10
July 31 2021,Lake,IN,Passenger,0,1,1,11,12,8.33
February 29 2020,Santa Cruz,CA,Passenger,1,0,1,38,39,2.56
October 31 2023,Clark,WA,Passenger,6724,2509,9233,308061,317294,2.91
September 30 2018,,,Passenger,3,2,5,423,428,1.17
February 28 2022,Coryell,TX,Passenger,1,0,1,104,105,0.95
July 31 2021,Fairfax,VA,Passenger,5,4,9,691,700,1.29
August 31 2019,Cook,IL,Passenger,1,0,1,250,251,0.40
January 31 2021,Whatcom,WA,Truck,3,0,3,43599,43602,0.01
October 31 2020,Hawaii,HI,Passenger,1,0,1,56,57,1.75
January 31 2021,Nassau,FL,Passenger,1,0,1,35,36,2.78
February 28 2017,Walla Walla,WA,Passenger,17,21,38,34781,34819,0.11
August 31 2021,Maricopa,AZ,Passenger,6,4,10,1190,1200,0.83
January 31 2023,Kitsap,WA,Truck,41,0,41,52899,52940,0.08
May 31 2023,Maricopa,AZ,Passenger,8,4,12,669,681,1.76
August 31 2019,Moore,NC,Passenger,0,1,1,184,185,0.54
July 31 2021,Portsmouth,VA,Passenger,0,1,1,85,86,1.16
November 30 2021,San Mateo,CA,Passenger,2,0,2,88,90,2.22
June 30 2020,Utah,UT,Passenger,0,1,1,135,136,0.74
April 30 2023,Orange,FL,Passenger,1,0,1,61,62,1.61
March 31 2021,Manassas,VA,Passenger,0,1,1,7,8,12.50
September 30 2022,Parker,TX,Passenger,0,1,1,19,20,5.00
February 28 2023,Placer,CA,Passenger,1,0,1,61,62,1.61
January 31 2020,Suffolk,VA,Passenger,1,0,1,124,125,0.80
September 30 2018,El Paso,CO,Passenger,3,1,4,767,771,0.52
October 31 2021,El Paso,TX,Passenger,3,0,3,371,374,0.80
November 30 2020,Twin Falls,ID,Passenger,0,1,1,26,27,3.70
April 30 2017,Nassau,NY,Passenger,0,1,1,40,41,2.44
April 30 2019,Honolulu,HI,Passenger,2,3,5,513,518,0.97
February 28 2019,Ada,ID,Passenger,0,2,2,316,318,0.63
November 30 2020,Houston,GA,Passenger,1,0,1,51,52,1.92
November 30 2023,,,Passenger,4,0,4,216,220,1.82
May 31 2019,Richmond,GA,Passenger,0,1,1,95,96,1.04
October 31 2018,Ventura,CA,Passenger,0,2,2,321,323,0.62
May 31 2023,Clallam,WA,Passenger,535,282,817,48968,49785,1.64
February 28 2021,Lincoln,WA,Truck,0,0,0,4688,4688,0.00
November 30 2021,Ferry,WA,Passenger,13,3,16,4456,4472,0.36
September 30 2022,Salt Lake,UT,Passenger,1,1,2,126,128,1.56
July 31 2017,Wayne,MI,Passenger,0,1,1,71,72,1.39
April 30 2017,Norfolk,MA,Passenger,1,0,1,39,40,2.50
May 31 2017,Nassau,NY,Passenger,0,1,1,39,40,2.50
August 31 2023,Randolph,NC,Passenger,1,0,1,3,4,25.00
February 28 2018,Anne Arundel,MD,Passenger,0,1,1,475,476,0.21
February 29 2020,Douglas,NE,Passenger,0,1,1,59,60,1.67
February 29 2020,Denver,CO,Passenger,1,0,1,124,125,0.80
November 30 2019,El Paso,CO,Passenger,2,2,4,747,751,0.53
May 31 2019,Jefferson,NY,Passenger,0,2,2,218,220,0.91
December 31 2018,Jefferson,WA,Passenger,168,106,274,24836,25110,1.09
March 31 2017,Multnomah,OR,Passenger,0,3,3,1110,1113,0.27
March 31 2023,Okanogan,WA,Passenger,116,58,174,26105,26279,0.66
October 31 2023,Bexar,TX,Passenger,1,3,4,324,328,1.22
April 30 2021,Middlesex,MA,Passenger,1,1,2,94,96,2.08
March 31 2022,Yellowstone,MT,Passenger,0,1,1,29,30,3.33
October 31 2020,San Juan,WA,Passenger,340,103,443,13964,14407,3.07
February 28 2022,Chesapeake,VA,Passenger,2,2,4,367,371,1.08
March 31 2017,Santa Clara,CA,Passenger,6,2,8,421,429,1.86
January 31 2020,Rogers,OK,Passenger,1,0,1,6,7,14.29
June 30 2021,Boulder,CO,Passenger,1,1,2,50,52,3.85
December 31 2019,Los Angeles,CA,Passenger,6,10,16,1087,1103,1.45
April 30 2019,Pierce,WA,Truck,0,0,0,139337,139337,0.00
March 31 2017,Grant,WA,Truck,0,0,0,25044,25044,0.00
March 31 2020,Klamath,OR,Passenger,1,0,1,37,38,2.63
October 31 2018,New Haven,CT,Passenger,0,1,1,45,46,2.17
June 30 2019,Harnett,NC,Passenger,1,1,2,223,225,0.89
September 30 2017,Howard,MD,Passenger,0,2,2,89,91,2.20
February 28 2021,Platte,MO,Passenger,1,0,1,21,22,4.55
August 31 2021,St. Clair,IL,Passenger,2,0,2,131,133,1.50
March 31 2021,Utah,UT,Passenger,0,1,1,125,126,0.79
November 30 2022,Thurston,WA,Truck,34,0,34,54739,54773,0.06
September 30 2020,Santa Clara,CA,Passenger,6,2,8,291,299,2.68
December 31 2020,Okanogan,WA,Truck,0,0,0,16602,16602,0.00
February 28 2017,Pend Oreille,WA,Truck,0,0,0,5571,5571,0.00
March 31 2022,Skamania,WA,Truck,0,0,0,3970,3970,0.00
August 31 2020,San Diego,CA,Passenger,16,5,21,2757,2778,0.76
March 31 2022,Anchorage,AK,Passenger,2,0,2,134,136,1.47
September 30 2017,Thurston,WA,Passenger,435,363,798,188222,189020,0.42
March 31 2020,San Joaquin,CA,Passenger,1,0,1,135,136,0.74
February 29 2020,Pend Oreille,WA,Truck,0,0,0,5760,5760,0.00
July 31 2021,Richmond,GA,Passenger,0,1,1,78,79,1.27
November 30 2021,Wahkiakum,WA,Passenger,17,10,27,3090,3117,0.87
February 28 2019,Richland,SC,Passenger,0,1,1,164,165,0.61
March 31 2019,Washoe,NV,Passenger,2,0,2,112,114,1.75
November 30 2019,Harrison,MS,Passenger,1,0,1,60,61,1.64
November 30 2017,Howard,MD,Passenger,0,2,2,92,94,2.13
October 31 2023,District of Columbia,DC,Passenger,3,0,3,133,136,2.21
February 28 2022,Rogers,OK,Passenger,1,0,1,3,4,25.00
January 31 2021,Kauai,HI,Passenger,1,0,1,16,17,5.88
December 31 2022,Louisa,VA,Passenger,0,1,1,1,2,50.00
January 31 2023,Bartow,GA,Passenger,0,1,1,3,4,25.00
May 31 2023,King,WA,Passenger,55656,14206,69862,1323049,1392911,5.02
May 31 2019,St. Clair,IL,Passenger,0,1,1,158,159,0.63
February 28 2017,Columbia,WA,Truck,0,0,0,1528,1528,0.00
May 31 2018,Polk,FL,Passenger,1,0,1,65,66,1.52
